Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
LCO|Las Campanas Astronomical Observatory, Chile|IU|Global Seismograph Network (GSN - IRIS/USGS)|BH1;BH2;BHE;BHN;BHZ;HH1;HH2;HHE;HHN;HHZ;HN1;HN2;HNZ|Streckeisen STS-1VBB w/E300;Streckeisen STS-1V/VBB Seismometer;Streckeisen STS-1H/VBB Seismometer;Trillium 240 broad band;Kinemetrics FBA ES-T EpiSensor Accelerometer|Atacama|Huasco|Vallenar|1998-12-20|2599-12-31|-29.011|-70.7005|WGS84|2274.0
LVC|Limon Verde, Chile|IU|Global Seismograph Network (GSN - IRIS/USGS)|BH1;BH2;BHE;BHN;BHZ;HH1;HH2;HHE;HHN;HHZ;HN1;HN2;HNE;HNN;HNZ|Streckeisen STS-1VBB w/E300;Streckeisen STS-1V/VBB Seismometer;Streckeisen STS-1H/VBB Seismometer;Kinemetrics FBA-23 Low-Gain Sensor;Streckeisen STS-2.5;Guralp CMG3-T Seismometer;Kinemetrics FBA ES-T EpiSensor Accelerometer|Antofagasta|El Loa|Calama|1996-12-02|2599-12-31|-22.6127|-68.9111|WGS84|2930.0
ALTO|Alto Peru|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-17.5732|-69.6802|WGS84|4400.0
ANDY|Andaray|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-15.7967|-72.8627|WGS84|3090.0
AYRA|Ayrampuni|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Trident 305, 40|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-15.0569|-69.8802|WGS84|3899.0
CAJ0|Cajamarcana|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-RT130, gain 1,|No aplica|No aplica|No aplica|2014-01-01|2599-12-31|-15.8364|-71.7669|WGS84|4481.0
CGLO|Cerro Gloria, Arequipa|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-16.4625|-71.7092|WGS84|2416.0
CHVY|Chivay|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-15.5575|-71.5589|WGS84|3756.0
HSAL|Huito Salinas|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|CMG-40T, --, 806.0 V/m/s-RT130, gain 1, 50 sps|No aplica|No aplica|No aplica|2012-03-24|2599-12-31|-16.33|-71.16|WGS84|4475.0
LAGN|Lagunillas|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium 40, 40 s, 1553 V/m/s-Trident 305, 16 vpp,|No aplica|No aplica|No aplica|2014-01-01|2599-12-31|-15.7228|-70.7053|WGS84|4260.0
LYAR|La Yarada|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|No aplica|No aplica|No aplica|2015-01-01|2599-12-31|-18.1444|-70.5686|WGS84|211.0
PAT0|Patapampa|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-RT130S, gain 1,|No aplica|No aplica|No aplica|2012-03-24|2599-12-31|-15.7549|-71.6623|WGS84|4976.0
QLK0|Quilca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium 40, 40 s, 1553 V/m/s-Trident 305, 16 vpp,|No aplica|No aplica|No aplica|2012-07-01|2599-12-31|-16.7154|-72.4278|WGS84|60.0
SAB0|Sabancaya|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium Compact, 120 s, 754 V/m/s-RT130, gain 1,|No aplica|No aplica|No aplica|2012-03-24|2599-12-31|-15.8128|-71.848|WGS84|5217.0
TOQ0|Toquepala|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium 40, 40 s, 1553 V/m/s-Trident 305, 16 vpp,|No aplica|No aplica|No aplica|2013-01-01|2599-12-31|-17.304|-70.643|WGS84|2586.0
UB10|Ubinas|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|CMG-40T, --, 802.0 V/m/s-RT130S, gain 1, 50 sps|No aplica|No aplica|No aplica|2012-03-24|2599-12-31|-16.33|-70.917|WGS84|4832.0
UNAP|Univ. Altiplano|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|CMG-40T, --, 1599.8 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2012-03-24|2599-12-31|-15.82|-70.018|WGS84|3838.0
YCA0|Yauca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Trillium 40, 40 s, 1553 V/m/s-Trident 305, 16 vpp,|No aplica|No aplica|No aplica|2013-01-01|2599-12-31|-15.6613|-74.5596|WGS84|127.0
QLK|Quilca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2012-07-01|2599-12-31|-16.7154|-72.4278|WGS84|85.0
TOQ|Toquepala|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2010-11-30|2599-12-31|-17.304|-70.643|WGS84|2586.0
